DateTime,SystemCodeNumber,Capacity,Occupancy,OccupancyRate,QueueLength,VehicleType,TrafficCondition,IsSpecialDay,Price_Model1,Price_Model2,Price_Model3,DemandScore,Price,Suggestion
2016-11-01 08:06:00,BHMNCPNST01,485,178,0.3670103092783505,1,car,low,0,11.835051546391753,11.404266706565199,11.176181372433895,2.8860824742268036,11.404266706565199,
2016-11-01 08:20:00,BHMNCPNST01,485,185,0.38144329896907214,2,car,low,0,13.31148320141056,11.525595868119755,11.295083950757359,3.151546391752577,11.525595868119755,
2016-11-01 09:00:00,BHMNCPNST01,485,208,0.4288659793814433,2,bike,low,0,13.66992576502697,8.093052623935442,7.931191571456733,3.2309278350515465,8.093052623935442,
2016-11-01 09:26:00,BHMNCPNST01,485,222,0.4577319587628866,2,car,low,0,10.381712417749874,11.796951377536658,11.561012349985925,3.7618556701030927,11.796951377536658,
2016-11-01 10:00:00,BHMNCPNST01,485,255,0.5257731958762887,4,truck,average,0,14.4258173569181,18.64390332438527,18.271025257897566,5.30618556701031,18.64390332438527,
2016-11-01 10:26:00,BHMNCPNST01,485,264,0.5443298969072164,3,car,low,0,20.0,12.152311207615753,11.909264983463437,4.604639175257732,12.152311207615753,
2016-11-01 11:00:00,BHMNCPNST01,485,274,0.5649484536082474,5,car,average,0,14.97705347565699,12.415264617920466,12.166959325562056,5.269587628865979,12.415264617920466,
2016-11-01 11:20:00,BHMNCPNST01,485,276,0.5690721649484536,7,bike,high,0,15.260625442662732,8.804419863599378,8.62833146632739,5.702577319587628,8.804419863599378,
2016-11-01 12:00:00,BHMNCPNST01,485,284,0.5855670103092784,7,bike,high,0,11.73225491514577,8.83809867972316,8.661336706128697,5.834536082474227,8.83809867972316,
2016-11-01 12:26:00,BHMNCPNST01,485,285,0.5876288659793815,7,bike,high,0,11.776243009620067,8.842275979006347,8.66543045942622,5.851030927835052,8.842275979006347,
2016-11-01 13:00:00,BHMNCPNST01,485,288,0.5938144329896907,6,truck,high,0,11.8113481439548,19.312956097788604,18.926696975832833,6.550515463917526,19.312956097788604,
2016-11-01 13:26:00,BHMNCPNST01,485,283,0.5835051546391753,7,car,high,0,20.0,12.726979105270804,12.472439523165388,6.1180412371134025,12.726979105270804,
2016-11-01 14:00:00,BHMNCPNST01,485,289,0.5958762886597938,4,car,average,0,15.706360548569773,12.452433553735094,12.203384882660393,5.367010309278351,12.452433553735094,
2016-11-01 14:26:00,BHMNCPNST01,485,279,0.5752577319587628,4,bike,average,0,15.32872221352891,8.590330224870197,8.418523620372794,4.9020618556701026,8.590330224870197,
2016-11-01 15:00:00,BHMNCPNST01,485,269,0.554639175257732,3,car,average,0,11.363526101158858,12.265965205718421,12.020645901604052,4.887113402061856,12.265965205718421,
2016-11-01 15:27:00,BHMNCPNST01,485,262,0.5402061855670103,2,car,low,0,14.966996133553472,12.077186779187915,11.835643043604156,4.421649484536082,12.077186779187915,
2016-11-01 16:00:00,BHMNCPNST01,485,248,0.511340206185567,2,cycle,low,0,14.63388781011575,5.882949695370101,5.765290701462699,3.6907216494845354,5.882949695370101,
2016-11-01 16:33:00,BHMNCPNST01,485,222,0.4577319587628866,2,truck,low,0,8.171609489184533,18.015964579168056,17.655645287584694,4.261855670103093,18.015964579168056,
2016-11-01 08:06:00,Shopping,1920,631,0.32864583333333336,1,car,low,0,11.643229166666666,11.261729452575208,11.036494863523703,2.5791666666666666,11.261729452575208,
2016-11-01 08:26:00,Shopping,1920,748,0.38958333333333334,3,bike,low,0,13.209646119241874,8.040905634923538,7.880087522225067,3.0666666666666664,8.040905634923538,
2016-11-01 09:00:00,Shopping,1920,956,0.4979166666666667,3,bike,low,0,10.530488968256872,8.30980606077245,8.143609939557,3.9333333333333336,8.30980606077245,
2016-11-01 09:26:00,Shopping,1920,1089,0.5671875,3,car,low,0,11.14574356077245,12.226209843749647,11.981685646874654,4.7875,12.226209843749647,
2016-11-01 10:00:00,Shopping,1920,1273,0.6630208333333333,5,cycle,average,0,15.541314010416313,6.261422189439763,6.136193745650968,5.554166666666666,6.261422189439763,
2016-11-01 10:26:00,Shopping,1920,1326,0.690625,4,car,low,0,9.714547189439763,12.658456258197969,12.40528713303401,5.925,12.658456258197969,
2016-11-01 11:00:00,Shopping,1920,1381,0.7192708333333333,6,car,average,0,16.254810424864637,12.909784444827093,12.65158875593055,6.654166666666667,12.909784444827093,
2016-11-01 11:26:00,Shopping,1920,1397,0.7276041666666667,6,truck,average,0,16.547805278160425,19.63648581752378,19.243756101173304,7.220833333333333,19.63648581752378,
2016-11-01 12:00:00,Shopping,1920,1395,0.7265625,9,bike,high,0,20.0,9.172680217828463,8.989226613471892,7.2625,9.172680217828463,
2016-11-01 12:26:00,Shopping,1920,1405,0.7317708333333334,10,truck,high,0,12.831534384495129,20.0,19.6,8.254166666666666,20.0,
2016-11-01 13:00:00,Shopping,1920,1407,0.7328125,8,car,high,0,20.0,13.164532124233762,12.901241481749087,7.4625,13.164532124233762,
2016-11-01 13:26:00,Shopping,1920,1416,0.7375,9,cycle,high,0,16.852032124233762,6.534506578833918,6.403816447257239,7.15,6.534506578833918,
2016-11-01 14:00:00,Shopping,1920,1419,0.7390625,5,bike,average,0,10.229819078833918,8.968192844157002,8.788828987273861,6.3625,8.968192844157002,
2016-11-01 14:26:00,Shopping,1920,1425,0.7421875,7,car,high,0,12.679130344157002,13.141946734770444,12.879107800075035,7.387499999999999,13.141946734770444,
2016-11-01 15:00:00,Shopping,1920,1376,0.7166666666666667,4,car,average,0,16.72528006810378,12.801716022593174,12.54568170214131,6.333333333333334,12.801716022593174,
